CGPA,Internships,Placed,Salary (INR LPA),Placed_num
7.9,3,Yes,17.63,1
7.39,0,Yes,28.37,1
8.02,2,Yes,8.95,1
8.72,4,Yes,22.59,1
7.31,2,Yes,19.67,1
7.31,2,Yes,22.96,1
8.76,0,No,0.0,0
8.11,0,Yes,8.8,1
7.12,0,Yes,20.95,1
7.93,1,Yes,16.45,1
7.13,3,Yes,23.06,1
7.13,1,No,0.0,0
7.69,3,Yes,11.83,1
5.97,3,Yes,27.03,1
6.12,2,Yes,5.28,1
7.05,2,Yes,24.79,1
6.69,3,Yes,26.26,1
7.75,3,Yes,25.07,1
6.77,1,No,0.0,0
6.37,1,Yes,16.84,1
8.67,2,Yes,14.84,1
7.32,0,Yes,29.9,1
7.55,3,Yes,9.19,1
6.36,1,Yes,17.77,1
7.06,2,No,0.0,0
7.59,1,No,0.0,0
6.58,3,Yes,21.11,1
7.8,3,No,0.0,0
7.02,4,No,0.0,0
7.27,0,No,0.0,0
7.02,4,Yes,21.92,1
8.98,2,No,0.0,0
7.49,1,Yes,8.51,1
6.65,2,No,0.0,0
8.16,3,Yes,20.66,1
6.52,4,Yes,25.1,1
7.67,4,No,0.0,0
5.93,4,Yes,4.35,1
6.44,2,No,0.0,0
7.66,3,No,0.0,0
8.09,1,Yes,27.61,1
7.64,1,Yes,3.8,1
7.41,2,Yes,12.61,1
7.26,4,Yes,3.43,1
6.32,0,Yes,5.08,1
6.92,2,No,0.0,0
7.13,2,Yes,27.6,1
8.35,3,Yes,12.58,1
7.77,1,No,0.0,0
6.09,2,Yes,14.47,1
7.76,2,Yes,8.81,1
7.19,4,No,0.0,0
6.96,4,Yes,19.12,1
7.99,0,No,0.0,0
8.32,3,No,0.0,0
8.25,0,No,0.0,0
6.83,4,Yes,19.06,1
7.25,1,Yes,13.05,1
7.77,4,Yes,11.99,1
8.28,3,No,0.0,0
7.12,4,No,0.0,0
7.35,3,Yes,26.89,1
6.61,3,Yes,13.35,1
6.54,3,Yes,16.32,1
8.15,3,Yes,10.65,1
8.58,3,No,0.0,0
7.44,1,Yes,24.24,1
8.3,0,No,0.0,0
7.79,2,No,0.0,0
6.98,0,Yes,13.73,1
7.79,3,Yes,16.87,1
8.73,1,Yes,9.84,1
7.47,4,Yes,29.67,1
8.75,1,No,0.0,0
5.4,3,No,0.0,0
8.16,1,No,0.0,0
7.57,1,Yes,10.87,1
7.26,3,Yes,23.81,1
7.57,1,No,0.0,0
5.91,2,Yes,14.54,1
7.32,2,Yes,8.57,1
7.79,1,Yes,24.59,1
8.68,4,Yes,12.01,1
7.09,3,Yes,26.36,1
6.85,2,Yes,27.71,1
7.1,4,No,0.0,0
8.23,1,Yes,26.22,1
7.76,4,Yes,3.95,1
7.08,0,Yes,24.26,1
